page_index,source_url,requested_url,result_count,screened_cards,eligible_items_added_total,min_year_on_page,max_year_on_page,content_type
52,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=52&error=cookies_not_supported&code=03f73fc5-90f8-4c8c-a648-0428c0b5ac51,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=52,20,20,434,2023,2023,"text/html; charset=""UTF-8"""
53,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=53&error=cookies_not_supported&code=4935a3f0-4421-4e1e-af47-4afa4ac1bd7a,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=53,20,20,446,2023,2023,"text/html; charset=""UTF-8"""
54,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=54&error=cookies_not_supported&code=4fb5aaae-8f21-42d6-912d-1dedecb66b97,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=54,20,20,452,2023,2023,"text/html; charset=""UTF-8"""
55,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=55&error=cookies_not_supported&code=1bacc444-5819-4c79-b5c9-490a7e0cb6bb,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=55,20,20,463,2022,2023,"text/html; charset=""UTF-8"""
56,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=56&error=cookies_not_supported&code=672e6afb-adbe-4b85-9c24-2b25afe20a6a,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=56,20,20,474,2022,2022,"text/html; charset=""UTF-8"""
57,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=57&error=cookies_not_supported&code=a7c61791-d031-49d1-8319-ca99f894f85c,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=57,20,20,484,2022,2022,"text/html; charset=""UTF-8"""
58,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=58&error=cookies_not_supported&code=e28321af-aeb2-48e0-b819-1faa449a937c,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=58,20,20,496,2022,2022,"text/html; charset=""UTF-8"""
59,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=59&error=cookies_not_supported&code=6a109b61-e8d0-4e55-9c30-f11e4b7c3567,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=59,20,20,503,2022,2022,"text/html; charset=""UTF-8"""
60,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=60&error=cookies_not_supported&code=fd5315f0-d281-402b-8d72-eb385e472cd6,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=60,20,20,510,2022,2022,"text/html; charset=""UTF-8"""
61,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=61&error=cookies_not_supported&code=993bcfda-c878-451a-84b6-ca108540f4d4,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=61,20,20,518,2022,2022,"text/html; charset=""UTF-8"""
62,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=62&error=cookies_not_supported&code=6e347350-2241-47c3-bdfd-2c23087266f0,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=62,20,20,529,2022,2022,"text/html; charset=""UTF-8"""
63,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=63&error=cookies_not_supported&code=32f7abff-48d1-4a95-b615-d9436d70a99f,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=63,20,20,537,2022,2022,"text/html; charset=""UTF-8"""
64,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=64&error=cookies_not_supported&code=6ca3fd9e-0cdb-4116-9f40-fa1c305e413d,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=64,20,20,546,2022,2022,"text/html; charset=""UTF-8"""
