source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
The European Physical Journal C,epj_c_1984_v24_i3_4,journal_issue,1984,1984-09-01,"vol. 24, issue 3-4",https://doi.org/10.1007/bf01410362,21
The European Physical Journal C,epj_c_1984_v25_i1,journal_issue,1984,1984-03-01,"vol. 25, issue 1",https://doi.org/10.1007/bf01571961,13
The European Physical Journal C,epj_c_1984_v25_i2,journal_issue,1984,1984-06-01,"vol. 25, issue 2",https://doi.org/10.1007/bf01557473,15
The European Physical Journal C,epj_c_1984_v25_i3,journal_issue,1984,1984-09-01,"vol. 25, issue 3",https://doi.org/10.1007/bf01547922,13
The European Physical Journal C,epj_c_1984_v25_i4,journal_issue,1984,1984-12-01,"vol. 25, issue 4",https://doi.org/10.1007/bf01910406,2
The European Physical Journal C,epj_c_1984_v26_i1,journal_issue,1984,1984-03-01,"vol. 26, issue 1",https://doi.org/10.1007/bf01572545,20
The European Physical Journal C,epj_c_1984_v26_i3,journal_issue,1984,1984-09-01,"vol. 26, issue 3",https://doi.org/10.1007/bf01452571,24
The European Physical Journal C,epj_c_1985_v26_i4,journal_issue,1985,1985-12-01,"vol. 26, issue 4",https://doi.org/10.1007/bf01551807,20
The European Physical Journal C,epj_c_1985_v27_i1,journal_issue,1985,1985-03-01,"vol. 27, issue 1",https://doi.org/10.1007/bf01642482,21
The European Physical Journal C,epj_c_1985_v27_i2,journal_issue,1985,1985-06-01,"vol. 27, issue 2",https://doi.org/10.1007/bf01556618,19
The European Physical Journal C,epj_c_1985_v27_i3,journal_issue,1985,1985-09-01,"vol. 27, issue 3",https://doi.org/10.1007/bf01548649,23
The European Physical Journal C,epj_c_1985_v27_i4,journal_issue,1985,1985-12-01,"vol. 27, issue 4",https://doi.org/10.1007/bf01436508,20
The European Physical Journal C,epj_c_1985_v28_i1,journal_issue,1985,1985-03-01,"vol. 28, issue 1",https://doi.org/10.1007/bf01550255,23
The European Physical Journal C,epj_c_1985_v28_i3,journal_issue,1985,1985-09-01,"vol. 28, issue 3",https://doi.org/10.1007/bf01413599,18
The European Physical Journal C,epj_c_1985_v28_i4,journal_issue,1985,1985-12-01,"vol. 28, issue 4",https://doi.org/10.1007/bf01473998,20
The European Physical Journal C,epj_c_1985_v29_i1,journal_issue,1985,1985-03-01,"vol. 29, issue 1",https://doi.org/10.1007/bf01571391,29
The European Physical Journal C,epj_c_1985_v29_i2,journal_issue,1985,1985-06-01,"vol. 29, issue 2",https://doi.org/10.1007/bf01550816,22
The European Physical Journal C,epj_c_1985_v29_i3,journal_issue,1985,1985-09-01,"vol. 29, issue 3",https://doi.org/10.1007/bf01565198,21
The European Physical Journal C,epj_c_1985_v29_i4,journal_issue,1985,1985-12-01,"vol. 29, issue 4",https://doi.org/10.1007/bf01560299,20
The European Physical Journal C,epj_c_1986_v30_i1,journal_issue,1986,1986-03-01,"vol. 30, issue 1",https://doi.org/10.1007/bf01560688,19
The European Physical Journal C,epj_c_1986_v30_i2,journal_issue,1986,1986-06-01,"vol. 30, issue 2",https://doi.org/10.1007/bf01575440,19
The European Physical Journal C,epj_c_1986_v30_i3,journal_issue,1986,1986-01-01,"vol. 30, issue 3",http://istina.msu.ru/publications/article/11892282/,21
The European Physical Journal C,epj_c_1986_v30_i4,journal_issue,1986,1986-12-01,"vol. 30, issue 4",https://doi.org/10.1007/bf01571811,20
The European Physical Journal C,epj_c_1986_v31,journal_volume_or_batch,1986,1986-01-01,vol. 31,https://iris.unito.it/handle/2318/109734,1
The European Physical Journal C,epj_c_1986_v31_i1,journal_issue,1986,1986-03-01,"vol. 31, issue 1",https://doi.org/10.1007/bf01559588,23
The European Physical Journal C,epj_c_1986_v31_i2,journal_issue,1986,1986-06-01,"vol. 31, issue 2",https://doi.org/10.1007/bf01479540,23
The European Physical Journal C,epj_c_1986_v31_i3,journal_issue,1986,1986-09-01,"vol. 31, issue 3",https://doi.org/10.1007/bf01588041,21
The European Physical Journal C,epj_c_1986_v31_i4,journal_issue,1986,1986-12-01,"vol. 31, issue 4",https://doi.org/10.1007/bf01551072,19
The European Physical Journal C,epj_c_1986_v32_i1,journal_issue,1986,1986-03-01,"vol. 32, issue 1",https://doi.org/10.1007/bf01441353,21
The European Physical Journal C,epj_c_1986_v32_i2,journal_issue,1986,1986-06-01,"vol. 32, issue 2",https://doi.org/10.1007/bf01552495,18
The European Physical Journal C,epj_c_1986_v32_i3,journal_issue,1986,1986-09-01,"vol. 32, issue 3",https://doi.org/10.1007/bf01551832,20
The European Physical Journal C,epj_c_1986_v32_i4,journal_issue,1986,1986-12-01,"vol. 32, issue 4",https://doi.org/10.1007/bf01550771,21
The European Physical Journal C,epj_c_1986_v33,journal_volume_or_batch,1986,1986-01-01,vol. 33,https://iris.unito.it/handle/2318/109658,1
The European Physical Journal C,epj_c_1986_v33_i1,journal_issue,1986,1986-03-01,"vol. 33, issue 1",https://doi.org/10.1007/bf01410449,18
The European Physical Journal C,epj_c_1986_v33_i2,journal_issue,1986,1986-06-01,"vol. 33, issue 2",https://doi.org/10.1007/bf01411143,20
The European Physical Journal C,epj_c_1987_01_batch,official_article_batch,1987,1987-01-01,article batch 1987-01,http://hj.diva-portal.org/smash/record.jsf?pid=diva2:34199,1
The European Physical Journal C,epj_c_1987_v33_i3,journal_issue,1987,1987-09-01,"vol. 33, issue 3",https://doi.org/10.1007/bf01552550,18
The European Physical Journal C,epj_c_1987_v33_i4,journal_issue,1987,1987-12-01,"vol. 33, issue 4",https://doi.org/10.1007/bf01548261,14
